Pergunta,Categorias
Quais documentos são necessários para solicitar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com agendar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 1}"
Posso obter informações sobre consultar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 1, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Onde posso encontrar informações sobre verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 1, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como cancelar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como faço para verificar um atendimento?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
O que fazer em caso de emergência?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Como faço para agendar um atendimento?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Preciso de ajuda com consultar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 1, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para obter informações sobre?,"{'Cancelamento': 1, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para verificar?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 1, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 0, 'Contato': 0}"
Qual o telefone para obter informações sobre?,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
Preciso de ajuda com cadastrar.,"{'Cancelamento': 0, 'Serviço Y': 0, 'Emergência': 0, 'Informação Geral': 0, 'Serviço X': 0, 'Encaminhamento': 0, 'Agendamento': 1, 'Contato': 0}"
