Pergunta,Intenção
Qual o telefone para solicitar?,Solicitação de Benefícios Assistenciais
Preciso de ajuda com cadastrar.,Informação Geral
O que fazer em caso de emergência?,Emergência
Como cancelar um atendimento?,Cancelamento
Preciso de informações gerais.,Informação Geral
Como funciona o serviço de benefícios?,Informação Geral
Onde posso obter mais informações?,Informação Geral
Quais documentos são necessários para solicitar benefícios?,Solicitação de Benefícios Assistenciais
Como faço para me inscrever para benefícios assistenciais?,Solicitação de Benefícios Assistenciais
Preciso de ajuda para solicitar benefícios assistenciais.,Solicitação de Benefícios Assistenciais
O que fazer em caso de emergência?,Emergência
Quem devo procurar em uma emergência?,Emergência
"Preciso de suporte imediato, é uma emergência.",Emergência
Como faço para cancelar o atendimento?,Cancelamento
Posso cancelar uma solicitação? Como?,Cancelamento
Quais são as etapas para cancelamento de serviços?,Cancelamento
